CPT_MOD|CPT_MOD_DESC
RN|Residence to a Skilled Nursing Facility (SNF)
RP|Residence to a Physician's office
RP|REPLACEMENT & REPAIR(DMEPOS)
RR|Residence to another Residence
RR|RENTAL(DME)
RS|Residence to a Scene of Accident/Acute Event
RT|RIGHT SIDE
RX|Residence to an Intermediate Stop at Physician's Office
SA|NURSE PRACTITIONER W PHYSICI
SB|NURSE MIDWIFE
SC|MEDICALLY NECESSARY SERV/SUP
SD|Scene of Accident/Acute Event to a Diagnostic/therapeutic site other than P/H
SD|SERV BY HOME INFUSION RN
SE|Scene of Accident/Acute Event to a Residential/Domiciliary/Custodial fac.
SE|STATE/FED FUNDED PROGRAM/SER
SF|2ND OPINION ORDERED BY PRO
SG|Scene of Accident/Acute Event to a Hospital-based Dialysis Facility
SG|ASC FACILITY SERVICE
SH|Scene of Accident/Acute Event to a Hospital
SH|2ND CONCURRENT INFUSION THER
SI|Scene of Accident/Acute Event to a Site of ambulance transport modes transfer
SJ|Scene of Accident/Acute Event to a Non-Hospital-based Dialysis facility
SJ|3RD CONCURRENT INFUSION THER
SK|HIGH RISK POPULATION
SL|STATE SUPPLIED VACCINE
SM|SECOND OPINION
SN|Scene of Accident/Acute Event to a Skilled Nursing Facility (SNF)
SN|THIRD OPINION
SP|Scene of Accident/Acute Event to a Physician's office
SQ|ITEM ORDERED BY HOME HEALTH
SR|Scene of Accident/Acute Event to a Residence
SS|Scene of Accident/Acute Event to another Scene of Accident/Acute Event
SS|HOME INFUSION SERVICES PROVIDED IN THE INFUSION SUITE OF THE IV THERAPY PROVIDER
ST|RELATED TO TRAUMA OR INJURY
SU|PERFORMED IN PHYS OFFICE
SV|DRUGS DELIVERED NOT USED
SW|SERV BY CERT DIAB EDUCATOR
SX|Scene of Accident/Acute Event to an Intermediate Stop at Physician's Office
SY|CONTACT W/HIGH-RISK POP
SZ|HABILITATIVE SERVICES
T1|LEFT FOOT, SECOND DIGIT
T2|LEFT FOOT, THIRD DIGIT
T3|LEFT FOOT, FOURTH DIGIT
T4|LEFT FOOT, FIFTH DIGIT
T5|RIGHT FOOT, GREAT TOE
T6|RIGHT FOOT, SECOND DIGIT
T7|RIGHT FOOT, THIRD DIGIT
T8|RIGHT FOOT, FOURTH DIGIT
T9|RIGHT FOOT, FIFTH DIGIT
TA|LEFT FOOT, GREAT TOE
TC|TECHNICAL COMPONENT
TD|RN
TE|LPN/LVN
TF|INTERMEDIATE LEVEL OF CARE
TG|COMPLEX/HIGH TECH LEVEL CARE
TH|OB TX/SRVCS PRENATL/POSTPART
TJ|CHILD/ADOLESCENT PROGRAM GP
TK|EXTRA PATIENT OR PASSENGER
TL|EARLY INTERVENTION IFSP
TM|INDIVIDUALIZED ED PRGRM(IEP)
TN|RURAL/OUT OF SERVICE AREA
TP|MED TRANSPRT UNLOADED VEHICL
TQ|BLS BY VOLUNTEER AMB PROVIDR
TR|SCHOOL-BASED IEP OUT OF DIST
TS|FOLLOW-UP SERVICE
TT|ADDITIONAL PATIENT
TU|OVERTIME PAYMENT RATE
TV|HOLIDAY/WEEKEND PAYMENT RATE
TW|BACK-UP EQUIPMENT
U1|M/CAID CARE LEV 1 STATE DEF
U2|M/CAID CARE LEV 2 STATE DEF
U3|M/CAID CARE LEV 3 STATE DEF
U4|M/CAID CARE LEV 4 STATE DEF
U5|M/CAID CARE LEV 5 STATE DEF
U6|M/CAID CARE LEV 6 STATE DEF
U7|M/CAID CARE LEV 7 STATE DEF
U8|M/CAID CARE LEV 8 STATE DEF
U9|M/CAID CARE LEV 9 STATE DEF
UA|M/CAID CARE LEV 10 STATE DEF
UB|M/CAID CARE LEV 11 STATE DEF
UC|M/CAID CARE LEV 12 STATE DEF
UD|M/CAID CARE LEV 13 STATE DEF
UE|USED DURABLE MED EQUIPMENT
UF|SERVICES PROVIDED, MORNING
UG|SERVICES PROVIDED, AFTERNOON
UH|SERVICES PROVIDED, EVENING
UJ|SERVICES PROVIDED, NIGHT
UK|SVC ON BEHALF CLIENT-COLLAT
UN|TWO PATIENTS SERVED
UP|THREE PATIENTS SERVED
UQ|FOUR PATIENTS SERVED
UR|FIVE PATIENTS SERVED
US|SIX OR MORE PATIENTS SERVED
V5|VASCULAR CATHETER
V6|ARTERIOVENOUS GRAFT
V7|ARTERIOVENOUS FISTULA
V8|INFECTION PRESENT
V9|NO INFECTION PRESENT
VP|APHAKIC PATIENT
XE|SEPARATE ENCOUNTER
XP|SEPARATE PRACTITIONER
XS|SEPARATE ORGAN/STRUCTURE
XU|UNUSUAL SEPARATE SERVICE
ZA|NOVARTIS/SANDOZ
